Jurisdiction,Country,GDP per Capita,,
Yerevan,Armenia,7554.95,,
Aragatsotn,Armenia,2646.3,,
Ararat,Armenia,3634.7,,
Armavir,Armenia,2911.32,,
Gegharkunik,Armenia,1939.31,,
Lori,Armenia,2228.09,,
Kotayk,Armenia,3604.26,,
Shirak,Armenia,2044.43,,
Syunik,Armenia,5869.39,,
Vayots dzor,Armenia,3196.23,,
Tavush,Armenia,2198.16,,
Baku City,Azerbaijan,4706.82,,
Absheron-Khizi,Azerbaijan,4706.82,,
Guba-Khachmaz,Azerbaijan,2142.35,,
Shaki-Zagatala,Azerbaijan,1802.82,,
Central Aran Region,Azerbaijan,1831.06,,
Ganja-Dashkasan,Azerbaijan,2104.24,,
Gazakh-Tovuz,Azerbaijan,1984.24,,
Eastern Zangazur,Azerbaijan,1823.29,,
Karabakh,Azerbaijan,1708.24,,
Nakhchivan Autonomous Republic,Azerbaijan,2821.41,,
Mil-Mughan,Azerbaijan,1946.12,,
Shirvan-Salyan,Azerbaijan,2236.94,,
Lankaran-Astara,Azerbaijan,1949.65,,
Nagarno-Karabakh Shirvan,Azerbaijan,1904.47,,
Tbilisi,Georgia,"7,576.83",,
Adjara Autonomous Republic,Georgia,4587.91,,
Guria,Georgia,2857.91,,
Imereti,Georgia,3379.23,,
Kakheti,Georgia,3102.97,,
Mtskheta-Mtianeti,Georgia,5191.64,,
Racha-Lechkhumi and Kvemo Svaneti,Georgia,4124.72,,
Samegrelo-Zemo Svaneti,Georgia,3983.7,,
Samtskhe-Javakheti,Georgia,4423.68,,
Kvemo Kartli,Georgia,3365.85,,
Shida Kartli,Georgia,3281.51,,
Abkhazia Autonomous Republic,Georgia,"1,795",,
East Azarbayejan,Iran,"2,222",,
West Azarbayejan,Iran,"1,703",,
Ardebil,Iran,"2,136",,
Dagestan,Russia ,3000,,
Chechnya,Russia ,2000,,
Ingushetia,Russia ,2000,,
North Ossetiaâ€“Alania Republic,Russia ,3000,,
Ardahan,Turkey,6786,,
Kars,Turkey,4721,,
Igdir,Turkey,5539,,
Agri,Turkey,3337,,
Van,Turkey,3275,,
Bitlis,Turkey,4077,,
Mus,Turkey,4398,,
Erzurum,Turkey,5416,,
Artvin,Turkey,9867,,
,,5075,,